rank,title,domestic_gross,boxoffice_open,boxoffice_close,distributor,estimated,budget,wikipedia_title,wikidata_id,wikidata_title,wikidata_release_date,wikidata_box_office,wikidata_letterboxd_slug,letterboxd_avg,letterboxd_ratings,letterboxd_slug
64,KPop Demon Hunters,24300000.0,Aug 23,-,Netflix,True,100000000.0,KPop Demon Hunters,Q130268157,KPop Demon Hunters,2025-06-20T00:00:00Z,,kpop-demon-hunters,3.54,1825428.0,film/kpop-demon-hunters
65,Hamnet,24208900.0,Nov 26,-,Focus Features,False,32500000.0,Hamnet (film),Q122741016,Hamnet,2025-11-27T00:00:00Z,,hamnet,4.19,1564322.0,film/hamnet
66,M3GAN 2.0,24101280.0,Jun 27,-,Universal Pictures,False,20000000.0,M3GAN 2.0,Q116258185,M3GAN 2.0,2025-06-27T00:00:00Z,,m3gan-20,2.62,236396.0,film/m3gan-20
67,Ne Zha 2,23308176.0,Feb 14,-,CMC Pictures,False,80000000.0,Ne Zha 2,Q131937861,Ne Zha 2,2025-10-23T00:00:00Z,2267446370.0,ne-zha-2,4.11,84453.0,film/ne-zha-2
68,Roofman,22739882.0,Oct 10,Nov 20,Paramount Pictures,False,19000000.0,Roofman,Q130742503,Roofman,2025-10-30T00:00:00Z,,roofman,3.46,356820.0,film/roofman
69,Springsteen: Deliver Me from Nowhere,22638297.0,Oct 24,Dec 4,20th Century Studios,False,55000000.0,Springsteen: Deliver Me from Nowhere,Q125401070,Springsteen: Deliver Me from Nowhere,2025-10-24T00:00:00Z,,springsteen-deliver-me-from-nowhere,3.18,181498.0,film/springsteen-deliver-me-from-nowhere
70,The Woman in the Yard,22405985.0,Mar 28,May 1,Universal Pictures,False,12000000.0,The Woman in the Yard,Q125678238,The Woman in the Yard,2025-03-28T00:00:00Z,,the-woman-in-the-yard,2.27,140521.0,film/the-woman-in-the-yard
71,Nobody 2,21604985.0,Aug 15,-,Universal Pictures,False,,Nobody (2025 film),Q126682448,Nobody 2,2025-08-21T00:00:00Z,,nobody-2,2.87,238288.0,film/nobody-2
72,Black Bag,21474035.0,Mar 14,May 1,Focus Features,False,55000000.0,Black Bag,Q124373035,Black Bag,2025-04-03T00:00:00Z,,black-bag-2025,3.41,390720.0,film/black-bag-2025
73,Together,21273159.0,Jul 30,-,Neon,False,17000000.0,Together (2025 film),Q131870558,Together,2025-10-02T00:00:00Z,28000000.0,together-2025,3.27,791094.0,film/together-2025
74,Last Breath,21051180.0,Feb 28,-,Focus Features,False,23800000.0,Last Breath (2025 film),Q119225271,Last Breath,2025-02-28T00:00:00Z,,last-breath-2025,3.09,89309.0,film/last-breath-2025
75,Companion,20869122.0,Jan 31,Mar 14,Warner Bros.,False,10000000.0,Companion (film),Q125933907,Companion,2025-02-06T00:00:00Z,,companion-2025,3.37,1490874.0,film/companion-2025
76,Wolf Man,20707280.0,Jan 17,-,Universal Pictures,False,25000000.0,Wolf Man (2025 film),Q111464581,Wolf Man,2025-01-24T00:00:00Z,,wolf-man-2025,2.39,211807.0,film/wolf-man-2025
77,The Chosen: Last Supper,20257290.0,Mar 28,-,-,False,,,,,,,,3.85,1303.0,film/the-chosen-last-supper
78,Until Dawn,20172192.0,Apr 25,-,Screen Gems,False,15000000.0,,Q128602012,Until Dawn,2025-04-25T00:00:00Z,,until-dawn-2025,2.5,457359.0,film/until-dawn-2025
79,Novocaine,19861854.0,Mar 14,Apr 10,Paramount Pictures,False,18000000.0,,Q124707042,Novocaine,2025-03-27T00:00:00Z,,novocaine-2025,3.09,449318.0,film/novocaine-2025
80,Dhurandhar,19702994.0,Dec 5,-,Moviegoers Entertainment,True,,,Q135230927,Dhurandhar,2025-12-05T00:00:00Z,,dhurandhar,3.56,117185.0,film/dhurandhar
81,The Phoenician Scheme,19555015.0,May 30,-,Focus Features,False,,,Q124758337,The Phoenician Scheme,2025-05-30T00:00:00Z,,the-phoenician-scheme,3.53,695438.0,film/the-phoenician-scheme
82,Bring Her Back,19333305.0,May 30,-,A24,False,15000000.0,,Q127602379,Bring Her Back,2025-08-21T00:00:00Z,,bring-her-back,3.67,1017674.0,film/bring-her-back
83,Caught Stealing,19005242.0,Aug 29,-,Sony Pictures Releasing,False,40000000.0,,Q130248726,Caught Stealing,2025-08-29T00:00:00Z,,caught-stealing,3.4,566271.0,film/caught-stealing
84,Bugonia,17692390.0,Oct 24,-,Focus Features,False,55000000.0,,Q125971387,Bugonia,2025-11-07T00:00:00Z,,bugonia,3.84,1876623.0,film/bugonia
85,Hamilton2025 Re-release,16946377.0,Sep 5,-,Walt Disney Studios Motion Pictures,False,,,,,,,,,,
86,Drop,16600805.0,Apr 11,May 16,Universal Pictures,False,11000000.0,,Q125983478,Drop,2025-04-17T00:00:00Z,,drop-2025,2.73,292191.0,film/drop-2025
87,Good Fortune,16585758.0,Oct 17,Nov 20,Lionsgate,False,,,Q124364757,Good Fortune,2025-10-17T00:00:00Z,,good-fortune-2025,3.11,187369.0,film/good-fortune-2025
88,Jujutsu Kaisen: Execution,16583133.0,Dec 5,-,GKIDS,False,,,Q136436677,Jujutsu Kaisen: Execution,2025-11-27T00:00:00Z,,jujutsu-kaisen-execution-shibuya-incident,3.46,75901.0,film/jujutsu-kaisen-execution-shibuya-incident
89,Friendship,16252948.0,May 9,-,A24,False,,,Q127821688,Friendship,2025-05-23T00:00:00Z,,friendship-2024,3.44,462860.0,film/friendship-2024
90,Eternity,16210244.0,Nov 26,-,A24,False,,,Q126203157,Eternity,2025-12-04T00:00:00Z,,eternity-2025-1,3.7,793899.0,film/eternity-2025-1
91,Love Hurts,15683090.0,Feb 7,-,Universal Pictures,False,,,Q125265183,Love Hurts,2025-02-07T00:00:00Z,,love-hurts-2025,2.06,83193.0,film/love-hurts-2025
92,The Roses,15298844.0,Aug 29,-,Searchlight Pictures,False,30600000.0,,Q126810973,The Roses,2025-08-29T00:00:00Z,,the-roses-1,3.4,404122.0,film/the-roses-1
93,The Last Rodeo,15201659.0,May 23,-,Angel,False,,,Q131632909,The Last Rodeo,2025-05-23T00:00:00Z,,the-last-rodeo-2025,2.56,3885.0,film/the-last-rodeo-2025
94,The Strangers: Chapter 2,15153346.0,Sep 26,-,Lionsgate,False,,,Q122396990,The Strangers: Chapter 2,2025-09-26T00:00:00Z,,the-strangers-chapter-2,1.78,76797.0,film/the-strangers-chapter-2
95,Nuremberg,14524692.0,Nov 7,-,Sony Pictures Classics,False,8500000.0,,Q124393313,Nuremberg,2025-12-05T00:00:00Z,56900000.0,nuremberg-2025,3.53,291692.0,film/nuremberg-2025
96,Death of a Unicorn,12899252.0,Mar 28,-,A24,True,15000000.0,,Q120887939,Death of a Unicorn,2025-05-01T00:00:00Z,,death-of-a-unicorn,2.67,377365.0,film/death-of-a-unicorn
97,Jaws2025 Re-release (50th Anniversary),12819675.0,Aug 29,-,-,False,,,,,,,,,,
98,The Chosen: Last Supper Part 2,12372228.0,Apr 4,-,-,False,,,,,,,,3.93,745.0,film/the-chosen-last-supper-part-2
99,The Chosen: Last Supper Part 3,11742410.0,Apr 11,-,-,False,,,,,,,,3.89,637.0,film/the-chosen-last-supper-part-3
100,Sarah's Oil,11675627.0,Nov 7,-,Amazon MGM Studios,False,,,Q130693545,Sarah's Oil,2025-12-25T00:00:00Z,,sarahs-oil,3.1,5212.0,film/sarahs-oil
101,The Smashing Machine,11411388.0,Oct 3,-,A24,False,40000000.0,,Q126012569,The Smashing Machine,2025-12-11T00:00:00Z,,the-smashing-machine-2025,3.2,366300.0,film/the-smashing-machine-2025
102,Becoming Led Zeppelin,10403353.0,Feb 7,-,Sony Pictures Classics,False,,,Q108660838,Becoming Led Zeppelin,2025-03-18T00:00:00Z,,becoming-led-zeppelin,3.56,36515.0,film/becoming-led-zeppelin
103,Eddington,10223277.0,Jul 18,-,A24,False,25000000.0,,Q121433282,Eddington,2025-11-20T00:00:00Z,,eddington,3.36,519062.0,film/eddington
104,Rental Family,10047429.0,Nov 21,Dec 24,Searchlight Pictures,False,,,Q124947229,Rental Family,2025-11-21T00:00:00Z,,rental-family-2025,3.86,330357.0,film/rental-family-2025
105,No Other Choice,10011860.0,Dec 25,-,Neon,False,,,Q129906152,No Other Choice,2025-12-25T00:00:00Z,37089487.0,no-other-choice-2025,4.08,816713.0,film/no-other-choice-2025
106,The Day the Earth Blew Up: A Looney Tunes Movie,8875344.0,Mar 14,Apr 24,Ketchup Entertainment,False,15000000.0,,Q123234434,The Day the Earth Blew Up: A Looney Tunes Movie,2025-03-14T00:00:00Z,,the-day-the-earth-blew-up-a-looney-tunes-movie,3.45,81130.0,film/the-day-the-earth-blew-up-a-looney-tunes-movie
107,Sketch,8129808.0,Aug 6,-,Angel,False,,,Q130276120,Sketch,2025-09-18T00:00:00Z,,sketch-2024-1,3.15,15628.0,film/sketch-2024-1
108,Back to the Future40th Anniversary,7923545.0,Oct 31,-,Universal Pictures,False,,,,,,,,,,
109,Soul on Fire,7448606.0,Oct 10,-,Affirm Films,False,,,Q124098394,Soul on Fire,2025-10-10T00:00:00Z,,on-fire-1,2.76,3215.0,film/on-fire-1
110,Clown in a Cornfield,7251799.0,May 9,-,RLJ Entertainment,False,,,Q127619022,Clown in a Cornfield,2025-06-05T00:00:00Z,,clown-in-a-cornfield,2.55,202398.0,film/clown-in-a-cornfield
111,Presence,6900044.0,Jan 24,-,Neon,False,2000000.0,,Q123690382,Presence,2025-04-03T00:00:00Z,10500000.0,presence-2024,2.95,272686.0,film/presence-2024
112,Princess Mononoke4K Restoration,6851056.0,Mar 28,-,GKIDS,False,,,,,,,,,,
113,Toy Story2025 Re-release,6721383.0,Sep 12,-,Walt Disney Studios Motion Pictures,False,,,,,,,,,,
114,The Life of Chuck,6712600.0,Jun 6,-,Neon,False,,,Q123169098,The Life of Chuck,2025-09-19T00:00:00Z,,the-life-of-chuck,3.67,321073.0,film/the-life-of-chuck
115,A Big Bold Beautiful Journey,6671082.0,Sep 19,-,Sony Pictures Releasing,False,45000000.0,,Q124497778,A Big Bold Beautiful Journey,2025-09-19T00:00:00Z,,a-big-bold-beautiful-journey,2.76,120299.0,film/a-big-bold-beautiful-journey
116,Good Boy,6624062.0,Oct 3,-,IFC Films,False,,,Q125975889,Good Boy,2024-02-28T00:00:00Z,,good-boy-2022,2.99,237020.0,film/good-boy-2025
117,The Last Supper,6564857.0,Mar 14,-,-,False,,,Q132716707,The Last Supper,2025-03-14T00:00:00Z,,the-last-supper-2025-1,2.66,1839.0,film/the-last-supper-2025-1
118,The Unbreakable Boy,6443813.0,Feb 21,Mar 27,Lionsgate,False,,,Q113380380,The Unbreakable Boy,2025-02-21T00:00:00Z,,the-unbreakable-boy,2.74,7706.0,film/the-unbreakable-boy
119,I'm Still Here,6233517.0,Jan 17,-,Sony Pictures Classics,False,,,Q124262351,I'm Still Here,2025-03-20T00:00:00Z,,im-still-here-2024,4.34,785370.0,film/im-still-here-2024
120,Pride & Prejudice20th Anniversary Re-Release,6193658.0,Apr 20,May 9,Focus Features,False,,,,,,,,,,
121,Is This Thing On?,6185385.0,Dec 19,-,Walt Disney Studios Motion Pictures,False,,,Q132189965,Is This Thing On?,2025-10-10T00:00:00Z,,is-this-thing-on-2025,3.41,141998.0,film/is-this-thing-on-2025
122,The Alto Knights,6125566.0,Mar 21,-,Warner Bros.,False,50000000.0,,Q115805392,The Alto Knights,2025-03-21T00:00:00Z,,the-alto-knights,2.74,49894.0,film/the-alto-knights
123,Truth & Treason,6044364.0,Oct 17,-,Angel,False,,,Q133824712,Truth & Treason,2025-01-01T00:00:00Z,,truth-treason,3.5,5808.0,film/truth-treason
124,Kill Bill: The Whole Bloody Affair,6002538.0,Dec 5,-,Lionsgate,False,,,Q18126825,Kill Bill: The Whole Bloody Affair,2025-12-05T00:00:00Z,,kill-bill-the-whole-bloody-affair,,,
125,Honey Don't!,5810510.0,Aug 22,-,Focus Features,False,,,Q124352605,Honey Don't!,2025-08-22T00:00:00Z,,honey-dont,2.27,262905.0,film/honey-dont
126,Dan Da Dan: Evil Eye,5637078.0,Jun 6,-,GKIDS,False,,,,,,,,3.87,26614.0,film/dan-da-dan-evil-eye
127,Die My Love,5515263.0,Nov 7,-,MUBI,False,,,Q117745793,Die My Love,2025-11-07T00:00:00Z,,die-my-love,3.17,487069.0,film/die-my-love
128,The Matrix2025 Re-release,5482077.0,Jun 6,-,Warner Bros.,False,,,,,,,,,,
129,Sentimental Value,5338580.0,Nov 7,-,Neon,False,7800000.0,,Q130284179,Sentimental Value,2025-12-26T00:00:00Z,,sentimental-value-2025,4.15,965709.0,film/sentimental-value-2025
130,The Senior,5295949.0,Sep 19,-,Angel,False,,,Q116055747,The Senior,2025-09-19T00:00:00Z,,the-senior,2.83,1839.0,film/the-senior
131,Hurry Up Tomorrow,5215357.0,May 16,Jun 5,Lionsgate,False,,,Q122190665,Hurry Up Tomorrow,2025-05-16T00:00:00Z,,untitled-trey-edward-shults-project,1.79,83748.0,film/untitled-trey-edward-shults-project
132,Light of the World,5213377.0,Sep 5,-,-,False,,,,,,,,3.47,1606.0,film/light-of-the-world
133,Chhaava,4800000.0,Feb 14,-,Yash Raj Films,True,,,Q127012906,Chhaava,2025-02-14T00:00:00Z,,chhaava,2.85,19661.0,film/chhaava
134,Stitch Head,4562943.0,Oct 29,-,Briarcliff Entertainment,False,,,Q135440423,Stitch Head,2025-10-16T00:00:00Z,,stitch-head,2.79,3213.0,film/stitch-head
135,Sisu: Road to Revenge,4544481.0,Nov 21,-,Sony Pictures Releasing,False,12200000.0,,Q125020375,Sisu: Road to Revenge,2025-11-21T00:00:00Z,1900000.0,sisu-2,3.24,68076.0,film/sisu-2
